N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
1 737;000063;ГосЛПУ;Пенза_БП;;;;08162;Пензенская городская клиническая больница №4 ГБУЗ г. Пенза;18.06.2013;Пензенская городская клиническая больница №4 ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;93 310,00;4 515,51;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;93 310,00;;;;;000000183;;;;;;93 310,00;;;;
1 738;000063;ГосЛПУ;Пенза_БП;;;;08200;Лунинская центральная районная больница ГБУЗ г. Пенза;26.06.2013;Лунинская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;48 691,14;-1 725,04;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;48 691,14;;;;;000000183;;;;;;48 691,14;;;;
1 739;000063;ГосЛПУ;Пенза_БП;;;;08164;Городская детская поликлиника ГБУЗ г. Пенза;20.06.2013;Городская детская поликлиника ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;50;ЛПУ;30;1,80;1,97;;34 906,81;-1 868,07;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;34 906,81;;;;;000000183;;;;;;34 906,81;;;;
1 740;000063;ГосЛПУ;Пенза_БП;;;;08169;ГКБСМП им. Г.А. Захарьина ГБУЗ г. Пенза;20.06.2013;ГКБСМП им. Г.А. Захарьина ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;21;1,30;1,38;;350 467,72;11 421,95;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;350 467,72;;;;;000000183;;;;;;350 467,72;;;;
1 741;000063;ГосЛПУ;Пенза_БП;;;;08192;Мокшанская центральная районная больница ГБУЗ г. Пенза;24.06.2013;Мокшанская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;70 585,90;2 399,64;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;70 585,90;;;;;000000183;;;;;;70 585,90;;;;
1 742;000063;ГосЛПУ;Пенза_БП;;;;08198;Городищенская центральная районная больница ГБУЗ г. Пенза;27.06.2013;Городищенская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;107 437,57;1 972,70;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;107 437,57;;;;;000000183;;;;;;107 437,57;;;;
1 743;000063;ГосЛПУ;Пенза_БП;;;;08191;Лопатинская центральная районная больница ГБУЗ г. Пенза;25.06.2013;Лопатинская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;180 997,90;-9 682,93;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;180 997,90;;;;;000000183;;;;;;180 997,90;;;;
1 744;000063;ГосЛПУ;Пенза_БП;;;;08180;Областной онкологический диспансер ГБУЗ г. Пенза;21.06.2013;Областной онкологический диспансер ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;327,27;-3,05;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;327,27;;;;;000000183;;;;;;327,27;;;;
1 745;000063;ГосЛПУ;Пенза_БП;;;;08171;Бековская ЦРБ ГБУЗ г. Пенза;18.06.2013;Бековская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;62 052,77;895,59;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;62 052,77;;;;;000000183;;;;;;62 052,77;;;;
1 746;000063;ГосЛПУ;Пенза_БП;;;;08165;Пензенская ЦРБ ГБУЗ г. Пенза;20.06.2013;Пензенская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;73 801,46;-1 322,52;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;73 801,46;;;;;000000183;;;;;;73 801,46;;;;
1 747;000063;ГосЛПУ;Пенза_БП;;;;08203;Пензенская областная клиническая больница им. Н.Н. Бурденко г. Пенза;27.06.2013;Пензенская областная клиническая больница им. Н.Н. Бурденко г. Пенза;;Пензенская Область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;246 905,46;19 962,74;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;246 905,46;;;;;000000183;;;;;;246 905,46;;;;
1 748;000063;ГосЛПУ;Пенза_БП;;;;08205;Городская больница №1 ГБУЗ г. Пенза;20.06.2013;Городская больница №1 ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;1 480 495,01;55 447,37;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;1 480 495,01;;;;;000000183;;;;;;1 480 495,01;;;;
1 749;000063;ГосЛПУ;Пенза_БП;;;;08190;Кузнецкая межрайонная детская больница ГБУЗ г. Пенза;24.06.2013;Кузнецкая межрайонная детская больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;57 851,76;-26,49;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;57 851,76;;;;;000000183;;;;;;57 851,76;;;;
1 750;000063;ГосЛПУ;Пенза_БП;;;;08847;Министерство здравоохранения Пензенской области;06.08.2014;Министерство здравоохранения Пензенской области;;Пензенская Область;;;Шкатова В.В;50;Опт;45;2,70;2,96;;;;330 948,95;139 251,99;;;;;;;АВТО;истина ;;Автотрейдинг-М ООО;1;;330 948,95;;;;000000183;;;;;;;330 948,95;;;
1 751;000063;ГосЛПУ;Пенза_БП;;;;08194;Неверкинская ЦРБ  имени Ф.Х.Магдеева ГБУЗ г. Пенза;24.06.2013;Неверкинская ЦРБ  имени Ф.Х.Магдеева ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;43 239,12;2 840,14;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;43 239,12;;;;;000000183;;;;;;43 239,12;;;;
1 752;000063;ГосЛПУ;Пенза_БП;;;;08202;Шемышейская центральная районная больница ЦРБ г. Пенза;01.07.2013;Шемышейская центральная районная больница ЦРБ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;1 604,55;-50,39;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;1 604,55;;;;;000000183;;;;;;1 604,55;;;;
1 753;000063;ГосЛПУ;Пенза_БП;;;;08207;Областная психиатрическая больница им. К.Р. Евграфова ГБУЗ г. Пенза;18.06.2013;Областная психиатрическая больница им. К.Р. Евграфова ГБУЗ г. Пенза;;Пензенская Область;;;Шкатова В.В;100;ЛПУ;45;2,70;2,96;;3 250 801,75;183 225,73;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;3 250 801,75;;;;;000000183;;;;;;3 250 801,75;;;;
1 754;000063;ГосЛПУ;Пенза_БП;;;;08204;Башмаковская центральная районная больница г. Пенза;27.06.2013;Башмаковская центральная районная больница г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;58 407,75;-679,16;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;58 407,75;;;;;000000183;;;;;;58 407,75;;;;
1 755;000063;ГосЛПУ;Пенза_БП;;;;08321;Пачелмская ЦРБ ГБУЗ г. Пенза;13.08.2013;Пачелмская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;7 548,91;3 172,38;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;7 548,91;;;;;000000183;;;;;;7 548,91;;;;
1 756;000063;ГосЛПУ;Пенза_БП;;;;08201;Сосновоборская центральная районная больница ГБУЗ г. Пенза;27.06.2013;Сосновоборская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;53 044,82;1 927,16;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;53 044,82;;;;;000000183;;;;;;53 044,82;;;;
1 757;000063;ГосЛПУ;Пенза_БП;;;;08172;Колышлейская ЦРБ ГБУЗ г. Пенза;18.06.2013;Колышлейская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;308 587,16;-8 817,31;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;308 587,16;;;;;000000183;;;;;;308 587,16;;;;
1 758;000063;ГосЛПУ;Пенза_БП;;;;08177;Белинская ЦРБ ГБУЗ г. Пенза;21.06.2013;Белинская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;273 372,88;-6 268,76;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;273 372,88;;;;;000000183;;;;;;273 372,88;;;;
1 759;000063;ГосЛПУ;Пенза_БП;;;;08179;Пензенский областной госпиталь для ветеранов войн ГБУЗ г. Пенза;21.06.2013;Пензенский областной госпиталь для ветеранов войн ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;288 593,12;6 170,53;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;288 593,12;;;;;000000183;;;;;;288 593,12;;;;
1 760;000063;ГосЛПУ;Пенза_БП;;;;08189;Земетчинская центральная районная больница ГБУЗ г. Пенза;24.06.2013;Земетчинская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;2 314,00;208,53;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;2 314,00;;;;;000000183;;;;;;2 314,00;;;;
1 761;000063;ГосЛПУ;Пенза_БП;;;;08181;Пензенская областная детская клиническая больница им. Н.Ф. Филатова ГБУЗ г. Пенза;24.06.2013;Пензенская областная детская клиническая больница им. Н.Ф. Филатова ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;78 231,64;1 573,61;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;78 231,64;;;;;000000183;;;;;;78 231,64;;;;
1 762;000063;ГосЛПУ;Пенза_БП;;;;08443;Иссинская ЦРБ ГБУЗ г. Пенза;13.10.2013;Иссинская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;13 300,45;-570,41;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;13 300,45;;;;;000000183;;;;;;13 300,45;;;;
1 763;000063;ГосЛПУ;Пенза_БП;;;;08168;Пензенский ОКЦСВМП ГБУЗ г. Пенза;18.06.2013;Пензенский ОКЦСВМП ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;527,27;142,37;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;527,27;;;;;000000183;;;;;;527,27;;;;
1 764;000063;ГосЛПУ;Пенза_БП;;;;08170;Сердобская ЦРБ им. Настина ГБУЗ г. Пенза;19.06.2013;Сердобская ЦРБ им. Настина ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;313 264,37;1 796,03;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;313 264,37;;;;;000000183;;;;;;313 264,37;;;;
1 765;000063;ГосЛПУ;Пенза_БП;;;;10325;МСЧ №58 ФСИН ФКУЗ;;МСЧ №58 ФСИН ФКУЗ;;Пенза;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 766;000063;ГосЛПУ;Пенза_БП;;;;10012;Пензенская область станция скорой медицинской помощи;;Пензенская область станция скорой медицинской помощи;;Пенза;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 767;000064;ГосЛПУ;Пермь_БП;;;;10075;Краевая психиатрическая больница №6 ГБУЗ Пермского края;;Краевая психиатрическая больница №6 ГБУЗ Пермского края;;Пермь;;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 768;000064;ГосЛПУ;Пермь_БП;;;;10213;ГКБ 21 ГБУЗ Пермского края;;ГКБ 21 ГБУЗ Пермского края;;Пермь;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 769;000064;ГосЛПУ;Пермь_БП;;;;10072;Осинский ДДИ ГКУСО ПК;;Осинский ДДИ ГКУСО ПК;;Пермь;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 770;000064;ГосЛПУ;Пермь_БП;;;;10099;Соликамская городская больница №1 ГБУЗ Пермского края;;Соликамская городская больница №1 ГБУЗ Пермского края;;Соликамск;;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
